     r      z          rho        v_phi  sigma_phi    sigma_r    sigma_z
0.0039 0.0003   12146.4000 6.240829e+01  58.482504  63.722280  62.421522
0.0040 0.0003   11661.0800 6.233150e+01  58.192733  63.493182  62.243154
0.0041 0.0003   11203.2900 6.225207e+01  57.924333  63.275742  62.071101
0.0042 0.0003   10770.8900 6.216758e+01  57.679157  63.072896  61.914142
0.0043 0.0003   10361.9500 6.208195e+01  57.451730  62.880621  61.768785
0.0044 0.0003    9974.7460 6.199402e+01  57.242420  62.699595  61.634420
0.0045 0.0003    9607.6990 6.190570e+01  57.050028  62.528065  61.505270
0.0046 0.0003    9259.3880 6.181460e+01  56.874364  62.366827  61.394625
0.0047 0.0003    8928.5190 6.172138e+01  56.712848  62.213569  61.284471
0.0048 0.0003    8613.9140 6.162928e+01  56.563875  62.069560  61.186492
0.0049 0.0003    8314.4980 6.153655e+01  56.428053  61.934166  61.092348
