l,b,gaia_l_median,gaia_l_std,gaia_b_median,gaia_b_std,synth_l_median,synth_l_std,synth_b_median,synth_b_std
7,-7,-5.436158000091751,3.2414560739798093,-0.2452002678095639,2.7355111366779568,-5.3590663,3.3487769474569635,-0.28284153,2.566290004463511
8,-7,-5.493705784179992,3.2011249351685978,-0.21415136427235706,2.692927715762323,-5.3049225,3.03833418366033,-0.26446488,2.5839381642539996
9,-7,-5.3022800659426315,3.8170863973709364,-0.25099613546616123,2.706443045169349,-5.1853222,3.203335105668127,-0.27227854,2.572466042481763
10,-7,-5.375268420819653,3.338501844495564,-0.19256427987090932,2.6848435314514667,-5.2339471,3.1847676786319714,-0.25639459,2.5810534319852168
-10,-6,-5.275346988793923,3.5752867322722226,-0.5508167291552647,2.5882049442469435,-6.1134859,3.815465250370652,-0.41590237,2.408477551823923
-9,-6,-5.450562750347135,3.490096360309104,-0.5148399467129083,2.7024790806665973,-6.295574800000001,3.1772354086148415,-0.422526305,2.3404597426690574
-8,-6,-5.409230623653742,3.473005214993688,-0.47858682138736963,2.5875440257895352,-6.1491493,3.199650635465457,-0.40271737,2.4731395722580327
-7,-6,-5.568659730223642,3.3329209995495903,-0.41606104669151445,2.6061380757215344,-6.2823449,3.2863654984931383,-0.314762145,2.4476857509364787
-6,-6,-5.6862220534541335,3.852654600094348,-0.44057272226013405,3.0325112034714494,-6.2818609,3.18591313401471,-0.35559502,2.4751476789624562
-5,-6,-5.662152689098248,3.451834138578025,-0.44591358261259917,2.842873626271454,-6.2315265,3.095394718296959,-0.31859206,2.5547602346122544
-4,-6,-5.7435116473875745,3.5260977433684073,-0.4302856535792243,2.9786954958025285,-6.152097,2.9924294761466177,-0.34800163,2.5400084527036957
-3,-6,-5.6729769479701995,3.532966984532335,-0.44069315233601114,3.1112834296997516,-6.1114785000000005,3.215025403022779,-0.3086178,2.565419076576567
-2,-6,-5.561645993914449,3.5401830745882754,-0.47958558267839324,3.5106361303999134,-6.010674399999999,2.992362093961412,-0.31643859500000004,2.6515006817891695
-1,-6,-5.384533321122005,3.4111289490189023,-0.4829462408722094,3.250760052576701,-5.8728478,3.3400226769796766,-0.33585115,2.6681989893387605
0,-6,-5.267889178439456,3.405857618703562,-0.4275186629473472,3.067356826085433,-5.90519565,2.919199156967148,-0.31228276,2.5861918140322615
1,-6,-5.313282835744215,3.3174321671322273,-0.490838223710104,3.0031018073071625,-5.86660945,2.9197468257348405,-0.307320605,2.608237584400419
2,-6,-5.3434267090188605,3.4258933650641574,-0.3917575786571944,2.8774035473792177,-5.7402911,2.921636938826521,-0.29016695,2.560696297760698
3,-6,-5.374139771913654,3.405065617515566,-0.41777963879001156,2.992680918127624,-5.72228505,2.9001308495284404,-0.26713537,2.576567055165342
4,-6,-5.378101670723639,3.3944560830685733,-0.3095311633354459,2.7728847068407245,-5.6338212,2.9669872479980417,-0.28017889,2.5542849826546927
5,-6,-5.5330437779279675,3.356744690284645,-0.251115290629097,2.6817374095600535,-5.5832998,2.949062014905522,-0.29122761,2.55451102854135
6,-6,-5.5532239352849615,3.38668978885281,-0.24522845473064336,2.671484231124982,-5.510401,2.980577304432956,-0.28028349,2.517240106350346
7,-6,-5.547238058357991,3.464828582135539,-0.24175071866482878,2.5700185904355792,-5.3425566,3.358927922549175,-0.27898254,2.5590097589716825
8,-6,-5.463387633579759,3.523667345191381,-0.2537997243244815,2.6004581669748297,-5.2854238,3.0609536838409563,-0.31856859,2.503676834270689
