l,b,gaia_median,gaia_std,synth_median,synth_std
5,-4,-0.3340921296866916,2.882501989043797,-0.28713409,2.559400205310161
6,-4,-0.3415136285847703,2.8556158376443426,-0.300994935,2.549032404174672
7,-4,-0.3340286720403529,2.908214457240629,-0.2811286,2.4412535739839663
8,-4,-0.2990286248286173,2.7534108430564306,-0.3049764849999999,2.4164513111062824
9,-4,-0.344144217091836,2.8302502567066936,-0.326679675,2.452021290018275
10,-4,-0.3105278940567864,2.692650371204632,-0.371941405,2.709479104929592
-10,-3,-0.4799780950804131,2.297071135421208,-0.5640226349999999,2.49446029271124
-9,-3,-0.4703479832558577,2.292816461151543,-0.4634703049999999,2.3450881071477747
-8,-3,-0.3633339441436565,2.4658850176996,-0.51769974,2.5666397607702334
-7,-3,-0.3746115241511089,2.3618679033678704,-0.458394725,2.8798737649950645
-6,-3,-0.3531092928936375,2.46944136847702,-0.38923408,2.3221290688383984
-5,-3,-0.3863621004299998,2.800159251534435,-0.38014236,2.549218789072303
-4,-3,-0.4324073052405952,2.68153912233452,-0.38630169,2.8372073953154304
-3,-3,-0.3874797581438792,2.801696915366356,-0.35655744,2.5642994148238274
-2,-3,-0.4661079532001806,2.997547017208043,-0.36757853,2.6011732620435377
-1,-3,-0.4117572627363361,3.2318717595029773,-0.364992565,2.654952780624297
0,-3,-0.371762406791487,3.25054490266405,-0.39530951,2.670996487228307
1,-3,-0.4415548368312667,3.662973435289761,-0.27433012,2.678813662269961
2,-3,-0.3836649986962963,3.1526163959871654,-0.27594641,2.6805678137032256
3,-3,-0.3855233036088907,3.0016227251631427,-0.28337098,2.621005731983427
4,-3,-0.4367910646757084,3.022263047536662,-0.26660547,2.5267757712343157
5,-3,-0.3980346906033002,2.828078101683669,-0.35552842,2.4698727412065424
6,-3,-0.3329751848444242,2.794813795187691,-0.35726261,3.0151284900876254
7,-3,-0.3535134773848042,2.627515976087969,-0.39197981,2.624683313939328
8,-3,-0.3401827717292095,2.6006366855904326,-0.3363896,2.437166227089916
9,-3,-0.3522215510600401,2.553170438970853,-0.356042715,2.706533047588054
10,-3,-0.3342170403023923,2.393307875022184,-0.34856484,2.3510712343413105
